iter	MultiClass
0	2.172261214
1	2.117869664
2	2.066644785
3	2.044859389
4	2.005507345
5	1.986419098
6	1.967847634
7	1.945514817
8	1.930512792
9	1.917460244
10	1.900863665
11	1.875755178
12	1.859155238
13	1.845389128
14	1.832884491
15	1.818344395
16	1.808776075
17	1.803215723
18	1.793678942
19	1.775057644
20	1.766484001
21	1.75785595
22	1.751247836
23	1.741251171
24	1.733204435
25	1.720132579
26	1.709466338
27	1.700776871
28	1.692340181
29	1.681415812
30	1.674512656
31	1.666806305
32	1.657729099
33	1.646571925
34	1.636990199
35	1.628479063
36	1.615773779
37	1.606668568
38	1.597007177
39	1.583890737
40	1.5755964
41	1.56181644
42	1.552911365
43	1.543750607
44	1.535242537
45	1.521924256
46	1.51236492
47	1.506102037
48	1.495117541
49	1.483599423
50	1.478049404
51	1.472096021
52	1.462117515
53	1.456478841
54	1.451422087
55	1.44540544
56	1.440557058
57	1.433115165
58	1.426619181
59	1.421418069
60	1.41544954
61	1.409446436
62	1.402781988
63	1.397481123
64	1.390009005
65	1.38570888
66	1.382391201
67	1.376183464
68	1.3711291
69	1.365911369
70	1.362232189
71	1.356938992
72	1.349476668
73	1.344272252
74	1.340942487
75	1.336447302
76	1.333826349
77	1.328608835
78	1.324421982
79	1.321899585
80	1.31939889
81	1.315379575
82	1.31150229
83	1.307210762
84	1.304222058
85	1.301624897
86	1.29716279
87	1.294133518
88	1.288824804
89	1.285996323
90	1.283039654
91	1.279572939
92	1.277415296
93	1.275495738
94	1.26918711
95	1.266800728
96	1.264314806
97	1.261330493
98	1.258611576
99	1.25700871
100	1.254984142
101	1.250890523
102	1.247472441
103	1.245172211
104	1.244094697
105	1.242645844
106	1.241303817
107	1.239687901
108	1.237741039
109	1.235145412
110	1.232682909
111	1.230153571
112	1.228293389
113	1.225649166
114	1.223769782
115	1.22014338
116	1.21847518
117	1.216542158
118	1.215016125
119	1.213785089
120	1.21192667
121	1.208273258
122	1.206343237
123	1.205018137
124	1.203409422
125	1.202149128
126	1.200468069
127	1.196392167
128	1.194540933
129	1.192067851
130	1.190286996
131	1.188534547
132	1.186267261
133	1.184303447
134	1.182879059
135	1.181102287
136	1.179511101
137	1.177485185
138	1.175080862
139	1.17345901
140	1.171765452
141	1.169932804
142	1.167800104
143	1.165372995
144	1.162901885
145	1.161054063
146	1.158582091
147	1.15581604
148	1.152557967
149	1.150062641
150	1.14706601
151	1.145696162
152	1.143196702
153	1.142020794
154	1.140604069
155	1.139414875
156	1.13746076
157	1.136284776
158	1.134953788
159	1.131692394
160	1.130373605
161	1.128332346
162	1.127087108
163	1.125796141
164	1.124866432
165	1.123094092
166	1.122484604
167	1.119672972
168	1.11778189
169	1.115487221
170	1.114145945
171	1.112815002
172	1.111182116
173	1.1096437
174	1.107933591
175	1.106799526
176	1.104406341
177	1.102499092
178	1.101089218
179	1.100136163
180	1.098698738
181	1.097433441
182	1.096608663
183	1.094611049
184	1.093796315
185	1.092480642
186	1.090207924
187	1.089375808
188	1.088480123
189	1.08628942
190	1.085262878
191	1.083821486
192	1.082765326
193	1.078674466
194	1.077995097
195	1.076664662
196	1.075357362
197	1.074389638
198	1.073696218
199	1.072820591
200	1.07161015
201	1.070451722
202	1.069164676
203	1.068101297
204	1.066801114
205	1.066019391
206	1.06535142
207	1.063285863
208	1.060784398
209	1.058931594
210	1.057545283
211	1.056077872
212	1.055218468
213	1.053859762
214	1.052451054
215	1.051919368
216	1.050012663
217	1.049276992
218	1.048161444
219	1.047528114
220	1.046815155
221	1.045973276
222	1.044975924
223	1.044127007
224	1.042395836
225	1.041131844
226	1.040025557
227	1.038398222
228	1.037583432
229	1.036745924
230	1.035520417
231	1.03479944
232	1.034037056
233	1.033250029
234	1.032238084
235	1.031300745
236	1.030501794
237	1.029321979
238	1.027714223
239	1.026343811
240	1.025254289
241	1.024352338
242	1.022968481
243	1.022242376
244	1.021497092
245	1.020675217
246	1.019849127
247	1.018371291
248	1.017527213
249	1.015876649
250	1.014740257
251	1.013019384
252	1.012056344
253	1.010969766
254	1.009801034
255	1.008536949
256	1.007578666
257	1.006529306
258	1.005052842
259	1.004267542
260	1.003108259
261	1.002384326
262	1.000987308
263	1.000179176
264	0.9993977034
265	0.9986511418
266	0.9974367232
267	0.9962492195
268	0.9953541325
269	0.9941527111
270	0.9930323374
271	0.9921768618
272	0.9913146797
273	0.9902353887
274	0.9889554641
275	0.9879354702
276	0.986976704
277	0.9864808741
278	0.9856366128
279	0.9846260076
280	0.9835726025
281	0.9826641138
282	0.9820697347
283	0.9809078001
284	0.9797465989
285	0.9791167907
286	0.9783167872
287	0.9768018571
288	0.9758571999
289	0.9745880546
290	0.9738394661
291	0.9729846275
292	0.9724016101
293	0.9717048929
294	0.9705316082
295	0.9693711077
296	0.9689876119
297	0.9678000785
298	0.9670138928
299	0.9664014774
