iter	Passed	Remaining
0	68	20489
1	77	11539
2	85	8488
3	96	7149
4	104	6177
5	112	5528
6	120	5055
7	129	4711
8	137	4433
9	145	4211
10	153	4023
11	161	3871
12	169	3741
13	177	3632
14	185	3524
15	193	3435
16	201	3354
17	209	3285
18	217	3217
19	225	3158
20	234	3121
21	243	3074
22	251	3023
23	259	2979
24	266	2934
25	274	2894
26	282	2854
27	290	2821
28	298	2785
29	305	2747
30	314	2725
31	322	2697
32	330	2671
33	337	2641
34	345	2615
35	352	2586
36	359	2558
37	366	2529
38	374	2504
39	381	2478
40	387	2450
41	395	2429
42	402	2406
43	409	2382
44	416	2358
45	423	2337
46	431	2322
47	438	2301
48	446	2284
49	453	2266
50	460	2250
51	468	2234
52	476	2222
53	484	2205
54	492	2192
55	499	2176
56	506	2160
57	513	2143
58	520	2126
59	527	2110
60	534	2094
61	541	2079
62	548	2063
63	555	2047
64	562	2032
65	568	2017
66	575	2002
67	582	1987
68	588	1971
69	596	1958
70	602	1943
71	609	1929
72	615	1915
73	622	1901
74	629	1887
75	635	1873
76	643	1862
77	649	1849
78	656	1836
79	662	1823
80	669	1810
81	676	1798
82	683	1787
83	690	1775
84	697	1763
85	703	1751
86	710	1740
87	717	1727
88	724	1718
89	731	1707
90	738	1696
91	745	1685
92	752	1674
93	760	1665
94	767	1656
95	774	1645
96	781	1635
97	787	1624
98	794	1612
99	800	1601
100	808	1592
101	815	1582
102	823	1574
103	831	1567
104	840	1560
105	847	1551
106	857	1546
107	864	1537
108	872	1528
109	879	1519
110	887	1511
111	895	1503
112	903	1495
113	912	1489
114	921	1483
115	931	1477
116	941	1472
117	951	1468
118	962	1463
119	972	1459
120	983	1454
121	993	1449
122	1005	1446
123	1017	1444
124	1028	1440
125	1039	1435
126	1050	1430
127	1061	1427
128	1071	1420
129	1082	1415
130	1094	1412
131	1105	1407
132	1116	1402
133	1128	1397
134	1140	1393
135	1150	1387
136	1161	1382
137	1173	1377
138	1184	1371
139	1196	1367
140	1208	1362
141	1218	1356
142	1229	1350
143	1240	1344
144	1253	1339
145	1269	1338
146	1280	1332
147	1291	1326
148	1304	1322
149	1315	1315
150	1327	1309
151	1341	1306
152	1355	1302
153	1367	1296
154	1378	1289
155	1389	1283
156	1402	1277
157	1415	1272
158	1432	1270
159	1446	1265
160	1459	1259
161	1473	1255
162	1488	1251
163	1502	1245
164	1514	1238
165	1527	1232
166	1540	1227
167	1554	1221
168	1567	1214
169	1578	1207
170	1589	1198
171	1599	1190
172	1610	1182
173	1622	1175
174	1634	1167
175	1647	1160
176	1659	1153
177	1671	1145
178	1683	1137
179	1698	1132
180	1711	1125
181	1725	1118
182	1738	1111
183	1752	1104
184	1764	1096
185	1775	1088
186	1787	1080
187	1801	1073
188	1812	1064
189	1823	1055
190	1835	1047
191	1847	1039
192	1858	1030
193	1869	1021
194	1881	1012
195	1894	1005
196	1905	996
197	1916	987
198	1930	979
199	1943	971
200	1956	963
201	1969	955
202	1980	946
203	1991	937
204	2004	929
205	2015	919
206	2026	910
207	2037	901
208	2048	892
209	2063	884
210	2074	875
211	2087	866
212	2101	858
213	2112	849
214	2123	839
215	2135	830
216	2146	821
217	2157	811
218	2171	803
219	2182	793
220	2196	785
221	2208	775
222	2220	766
223	2233	757
224	2246	748
225	2259	739
226	2270	730
227	2283	720
228	2294	711
229	2307	702
230	2320	693
231	2332	683
232	2344	674
233	2355	664
234	2368	655
235	2379	645
236	2392	635
237	2405	626
238	2421	618
239	2432	608
240	2444	598
241	2455	588
242	2468	579
243	2479	569
244	2490	559
245	2503	549
246	2516	539
247	2527	530
248	2539	520
249	2553	510
250	2565	500
251	2577	490
252	2590	481
253	2602	471
254	2615	461
255	2626	451
256	2639	441
257	2650	431
258	2662	421
259	2677	411
260	2688	401
261	2699	391
262	2710	381
263	2722	371
264	2734	361
265	2746	351
266	2762	341
267	2774	331
268	2789	321
269	2803	311
270	2820	301
271	2835	291
272	2849	281
273	2859	271
274	2869	260
275	2879	250
276	2891	240
277	2903	229
278	2915	219
279	2927	209
280	2939	198
281	2950	188
282	2961	177
283	2974	167
284	2985	157
285	2997	146
286	3010	136
287	3022	125
288	3033	115
289	3044	104
290	3056	94
291	3068	84
292	3082	73
293	3095	63
294	3109	52
295	3120	42
296	3130	31
297	3143	21
298	3154	10
299	3168	0
