S No,Category 1,Category 2,Category 3,Category 4,Category 5
1,Mro Supplies,Apparel & Luggage & Personal Care Products,Apparel & Luggage & Personal Care Products,Apparel & Luggage & Personal Care Products,Apparel & Luggage & Personal Care Products
2,Mro Supplies,Apparel & Luggage & Personal Care Products,Apparel Supplies,Apparel Supplies,Apparel Supplies
3,Mro Supplies,Apparel & Luggage & Personal Care Products,Apparel Supplies,Apparel Supplies,Badge Retractor
4,Mro Supplies,Apparel & Luggage & Personal Care Products,Clothing,Clothing,Clothing
5,Mro Supplies,Apparel & Luggage & Personal Care Products,Clothing,Bottomwear,Pants
6,Mro Supplies,Apparel & Luggage & Personal Care Products,Clothing,Topwear,Hood
7,Mro Supplies,Apparel & Luggage & Personal Care Products,Clothing,Topwear,Shirts
8,Mro Supplies,Apparel & Luggage & Personal Care Products,Footwear,Shoes,Shoes
9,Mro Supplies,Apparel & Luggage & Personal Care Products,Personal Care Products,Bath & Body,H& Cleaner
10,Mro Supplies,Building Supplies,Bricks/ Tiles/ Blocks,Bricks/ Tiles/ Blocks,Bricks/ Tiles/ Blocks
11,Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Building & Construction Machinery & Accessories,Building & Construction Machinery & Accessories
12,Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Boiler & Furnace Construction & Maintenance Services,Boiler & Furnace Construction & Maintenance Services
13,Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Building & Facility Construction & Maintenance Parts,Work Platform
14,Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Flooring,Flooring
15,Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Heavy Construction Machinery & Equipment,Heavy Equipment Components
16,Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Painting,Painting
17,Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Plumbing,Plumbing
18,Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Building & Construction Machinery & Accessories,Roll Cut
19,Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Specialty Building & Trades Services,Fencing & Railing Service
20,Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Building & Construction Machinery & Accessories,Trench Drain
21,Mro Supplies,Building Supplies,Concrete/ Cement/ Plaster,Cement,Cement
22,Mro Supplies,Building Supplies,Concrete/ Cement/ Plaster,Concrete,Concrete
23,Mro Supplies,Building Supplies,Insulation,Insulation,Insulation
24,Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Construction & Maintenance Support Equipment,Ladders
25,Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Domestic Appliances Accessories,Cover/Lid
26,Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Doors & Windows & Glass,Doors
27,Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Doors & Windows & Glass,Door Closers
28,Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Doors & Windows & Glass,Panel
29,Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Doors & Windows & Glass,Track
30,Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Doors & Windows & Glass,Glass Doors
31,Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Doors & Windows & Glass,Glass Products
