Product Description,Category 1,Category 2,Category 3,Category 4,Category 5,Confidence Score
46 HN HYDRAULIC OIL (BULK - IDEMITSU),Mro Supplies,Chemicals & Lubes,Chemicals & Lubes,Chemicals & Lubes,Hydraulic Oil,0.793553191739466
HIGH SPEED DIESEL-BHARAT STAGE VI,Mro Supplies,Energy & Utilities,"Fuels, Fuel Additives & Anti Corrosive Materials",Fuels,"Fuel Oils (Petrol, Diesel, Kerosine)",0.5782028321937661
contact tube 1.2 - 60A167,Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,Electrical Equipment & Components & Supplies,Contactors,0.6820394532104987
SUPREME-46 P,Mro Supplies,Apparel & Luggage & Personal Care Products,Footwear,Shoes,Shoes,0.5412193852796853
HIGH SPEED DIESEL-BHARAT STAGE VI,Mro Supplies,Energy & Utilities,"Fuels, Fuel Additives & Anti Corrosive Materials",Fuels,"Fuel Oils (Petrol, Diesel, Kerosine)",0.5782028321937661
WEATHERPROOF TAXI YELLOW PAINT,Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Painting,Painting,0.61386694685733
TWO PACK EPOXY PRIMER,Mro Supplies,Manufacturing Components & Supplies,Paints & Primers & Finishes, Paints & Primers, Paints & Primers,0.7083261327022494
LPG BULK,Mro Supplies,Printing & Photographic & Audio & Visual Equipment & Supplies,Photographic Or Filming Or Video Equipment,Camera Accessories,Grid Pack,0.5083508855583092
LPG,Mro Supplies,Laboratory & Measuring & Observing & Testing Equipment,Measuring & Observing & Testing Instruments,Pressure Measuring & Control Instruments,Pressure Gauge,0.5076593708860621
NERODTM 7005 MONOCOAT MATT BLACK,Mro Supplies,Safety Supplies,Safety Clothes,Safety Clothes,Jacket,0.4834139643258148
H D EP2 GREASE 180 KG)(Alt TS00001)TL060,Mro Supplies,Chemicals & Lubes,Chemicals & Lubes,Chemicals & Lubes,Grease,0.7441228442243311
pu hd high grade black paint,Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Painting,Painting,0.6151107178210414
Liquid Argon,Mro Supplies,Industrial Gases,Inert Gas Mixtures,Inert Gas Mixtures,Refrigerant Gas,0.6170041895865397
ZIRKON DISC 127*22.23#24 GRIT:F822,Mro Supplies,Manufacturing Components & Supplies,Grinding & Polishing & Smoothing Materials,Discs,Discs,0.6072947786179974
PU THINNER T50,Mro Supplies,"Office Equipment, Furniture, & Supplies",Office Supplies,Toner,Toner,0.44012364617494054
